contract,paymentmethod,total_customers,churned_customers,churn_rate
Month-to-month,Bank transfer (automatic),589,201,34.13
Month-to-month,Credit card (automatic),543,178,32.78
Month-to-month,Electronic check,1850,994,53.73
Month-to-month,Mailed check,893,282,31.58
One year,Bank transfer (automatic),391,38,9.72
One year,Credit card (automatic),398,41,10.3
One year,Electronic check,347,64,18.44
One year,Mailed check,337,23,6.82
Two year,Bank transfer (automatic),564,19,3.37
Two year,Credit card (automatic),581,13,2.24
Two year,Electronic check,168,13,7.74
Two year,Mailed check,382,3,0.79
